word	ANEW #	fem_cat	mean_hap	sd_hap	mean_ang	sd_ang	mean_sad	sd_sad	mean_fear	sd_fear	mean_dis	sd_dis	n
cell	587	   	2.55	1.6723	1.82	1.339	1.55	0.9792	1.48	1.0577	1.18	0.5466	38
cellar	681	   	1.24	0.7675	1.64	1.2802	1.82	1.2921	2.52	1.2798	1.55	1.275	41
cemetery	65	*	1.1	0.7702	2.1	1.4713	4.37	1.0059	3.4	1.4407	1.9	1.2549	35
chair	66	   	1.77	1.1832	1.13	0.5314	1.23	0.6325	1.27	0.78	1.13	0.43	35
champ	682	H  	4.12	1.2001	1.27	0.5376	1.3	0.7157	1.15	0.4417	1.15	0.4417	41
champion	67	H  	4.46	0.8823	1.14	0.4845	1.23	0.6933	1.17	0.5003	1.29	0.6109	43
chance	683	   	2.97	1.2122	1.58	0.891	1.7	1.0436	2.24	1.2798	1.36	0.8359	41
chaos	684	   	1.09	0.2637	2.39	1.2673	1.3	0.6663	2.3	1.2736	1.48	1.0865	41
charm	68	H  	3.83	1.1381	1.37	0.8671	1.1	0.2733	1.17	0.528	1.03	0.1622	38
cheer	69	H  	4.46	0.7668	1.03	0.1525	1.26	0.5706	1	0	1.06	0.305	43
child	70	H  	4.14	1.1666	1.26	0.6208	1.43	0.9353	1.46	1.0962	1.03	0.4477	43
chin	685	   	1.51	1.0652	1.12	0.4952	1.15	0.9173	1.2	0.8907	1.15	0.8832	44
chocolate	505	H  	4.67	0.7648	1.23	0.4728	1.5	0.8869	1.17	0.7593	1.3	0.6108	35
christmas	686	H  	4.73	0.9066	1.27	0.6129	1.47	0.9216	1.18	0.4951	1.27	0.6524	41
church	71	H  	3.53	1.4724	1.4	0.7016	1.57	0.8584	1.67	1.0761	1.27	0.528	38
circle	687	   	2.17	1.2636	1.27	0.4902	1.37	0.7253	1.27	0.6456	1.13	0.4038	35
circus	72	H  	3.76	1.2817	1.15	0.6675	1.24	1.0136	1.67	1.0063	1.3	1.0414	44
city	73	H*	3.77	1.5199	1.47	0.885	1.3	0.7181	1.83	1.2166	1.2	0.7016	38
cliff	553	F*	1.33	0.7667	1.48	0.7457	1.7	0.9602	3.39	1.3238	1.27	0.687	41
clock	688	   	1.45	1.0517	1.33	0.7498	1.33	0.7157	1.42	0.8293	1.21	0.6411	41
clothing	74	H*	4.6	0.6081	1.4	0.8168	1.5	0.9805	1.23	0.6572	1.3	0.8382	35
clouds	533	H  	3.41	1.3766	1.43	0.8324	1.56	0.9956	1.44	0.9579	1.26	0.757	46
clumsy	689	   	1.76	0.8315	1.91	1.11	1.61	0.949	1.64	1.0018	1.3	0.7499	44
