word	ANEW #	male_cat	mean_hap	sd_hap	mean_ang	sd_ang	mean_sad	sd_sad	mean_fear	sd_fear	mean_dis	sd_dis	n
shriek	980	   	1.5	0.89	1.92	1.29	1.66	1.14	2.73	1.34	1.52	1.03	31
shy	389	   	1.55	0.83	1.66	0.97	2.28	1.28	2.52	1.45	1.55	1.12	29
sick	607	neg*	1.1	0.3	2.45	1.18	2.84	1.07	2.58	1.26	2.55	1.36	31
sickness	390	neg*	1.14	0.44	2.41	1.21	3.21	1.29	2.83	1.36	2.93	1.33	29
silk	391	H  	2.86	1.13	1.03	0.19	1	0	1.03	0.19	1	0	29
silly	981	H  	3.87	0.97	1.37	0.61	1.23	0.63	1.07	0.25	1.33	0.61	30
sin	392	*	1.16	0.45	2.74	1.5	2.58	1.26	2.68	1.38	2.55	1.5	31
sinful	393	   	1.19	0.54	2.68	1.28	2.65	1.28	2.55	1.34	2.23	1.33	31
sissy	394	   	1.31	0.85	2.21	1.26	2.03	1.15	2.1	1.37	1.93	1.13	29
skeptical	395	   	1.63	1	2.07	1.17	1.47	0.86	1.83	1.18	1.5	0.86	30
skijump	531	HF 	3	1.29	1.33	0.71	1.27	0.58	3.17	1.21	1.1	0.4	30
skull	608	   	1.27	0.52	2.07	1.31	1.87	1.07	2.47	1.33	2	1.34	30
sky	572	H  	3.16	1.46	1.1	0.3	1.16	0.45	1.29	0.59	1.03	0.18	31
skyscraper	573	   	2.38	1.35	1.34	0.9	1.66	1.23	2.14	1.38	1.41	1.12	29
slap	396	   	1.13	0.34	3.19	1.3	1.77	1.12	1.9	1.16	1.65	1.23	31
slaughter	397	neg	1.07	0.38	3.39	1.4	3.46	1.32	3.14	1.38	3.46	1.48	28
slave	398	*	1.18	0.67	3.61	1.42	3.86	1.11	2.61	1.66	2.93	1.68	28
sleep	399	H  	4	1.28	1.24	0.79	1.45	1.09	1.24	0.79	1.34	0.9	29
slime	400	D*	1.25	0.7	1.39	0.88	1.18	0.55	1.39	0.92	3.46	1.37	28
slow	982	   	1.43	0.73	2.37	1.25	1.8	1.16	1.87	1.2	2.23	1.3	30
slum	401	*	1.27	0.69	2.14	1.04	3	1.11	2.33	1.27	2.8	1.45	30
slush	983	   	1.57	0.82	1.57	0.94	1.93	1.01	1.4	0.77	2.1	1.24	30
smallpox	402	neg*	1	0	2.37	1.1	2.57	1.36	3.33	1.21	3.27	1.51	30
smooth	984	H  	3.06	1.39	1.19	0.48	1.19	0.6	1.1	0.3	1.13	0.43	31
snake	609	   	1.33	0.61	1.87	0.97	1.63	1	3.17	1.12	2.3	1.39	30
snob	403	   	1.13	0.43	2.97	1.17	1.68	0.83	1.61	0.84	2.61	1.15	31
snow	575	H  	3.53	1.48	1.63	1.03	1.53	0.78	1.3	0.53	1.27	0.52	30
snuggle	404	H  	4.07	1.2	1.2	0.66	1.33	0.66	1.13	0.43	1.07	0.37	30
social	985	H  	3.34	1.51	1.23	0.67	1.19	0.48	1.68	1.05	1.06	0.25	31
soft	986	H  	3.59	1.35	1.24	0.79	1.28	0.84	1.17	0.76	1.17	0.76	29
solemn	405	   	2.04	1.22	1.44	0.61	2.23	1.27	1.56	0.85	1.35	0.7	30
song	987	H  	3.33	1.32	1.87	0.97	2	0.91	1.5	0.68	1.5	0.9	30
soothe	988	H  	3.96	1	1.04	0.19	1.11	0.57	1	0	1	0	28
sour	989	   	1.81	1.01	1.39	0.92	1.26	0.63	1.52	0.81	1.65	0.84	31
space	574	   	2.55	1.48	1.03	0.19	1.31	0.66	1.48	0.91	1.21	0.49	29
spanking	990	   	1.58	0.92	2.32	1.3	2.23	1.28	2.32	1.14	1.68	1.01	31
sphere	991	   	1.71	1.05	1.14	0.45	1.07	0.38	1.07	0.38	1.07	0.38	28
spider	610	*	1.29	0.76	1.64	0.99	1.39	0.79	2.96	1.17	2.64	1.39	28
spirit	406	H  	3.52	1.15	1.35	0.75	1.42	0.81	1.42	0.85	1.29	0.74	31
spouse	407	H  	3.87	1.22	1.67	0.96	1.67	0.96	1.7	1.15	1.1	0.4	30
spray	992	   	1.97	1.13	1.37	0.56	1.2	0.61	1.33	0.66	1.53	0.86	30
spring	993	H  	4.23	0.9	1.23	0.68	1.23	0.73	1.3	0.75	1.2	0.55	30
square	408	   	1.53	0.82	1.45	0.93	1.47	0.94	1.37	0.72	1.5	0.9	30
stagnant	994	   	1.27	0.49	1.78	1.32	1.81	1.16	1.54	0.91	2.25	1.47	31
star	409	H  	3.61	1.03	1.14	0.52	1.07	0.26	1.29	0.71	1.04	0.19	28
startled	410	   	1.29	0.64	2.13	1.2	1.61	0.99	2.65	1.36	1.45	0.96	31
starving	611	   	1.21	0.83	2.11	1.17	3.07	1.44	2.39	1.23	1.93	1.18	28
statue	995	   	1.79	0.96	1.21	0.57	1.36	0.91	1.18	0.55	1.18	0.55	28
stench	996	D  	1.19	0.48	1.74	1.15	1.58	1.03	1.68	0.98	3.65	1.23	31
stiff	997	   	1.43	1.03	1.46	0.92	1.43	0.84	1.21	0.42	1.21	0.63	28
stink	411	*	1.04	0.19	2.39	1.29	1.82	1.02	1.96	1.32	3.5	1.29	28
stomach	998	   	1.86	1.03	1.31	0.66	1.31	0.54	1.28	0.53	1.86	1.25	29
stool	999	   	1.43	0.99	1.24	0.76	1.21	0.6	1.21	0.6	1.58	1.12	31
storm	1000	   	2.21	1.15	1.9	1.24	1.38	0.62	2.03	1.24	1.14	0.44	29
stove	1001	   	1.55	1.03	1.23	0.76	1.26	0.77	1.45	1.03	1.23	0.8	31
street	412	   	1.52	0.91	1.24	0.58	1.28	0.65	1.76	0.99	1.31	0.66	29
stress	413	   	1.29	0.82	3.13	1.2	2.35	1.2	2.29	1.1	1.84	1.04	31
strong	414	H  	3.25	1.17	1.64	0.87	1.21	0.57	1.57	0.88	1.11	0.42	28
stupid	415	   	1.26	0.51	2.74	1.39	1.87	1.15	1.68	0.91	1.74	1.32	31
subdued	416	   	1.42	0.72	1.65	0.95	1.74	0.82	1.65	0.8	1.35	0.66	31
success	417	H  	3.94	1.18	1.26	0.58	1.42	0.96	1.84	1.21	1.16	0.45	31
suffocate	418	   	1.04	0.19	2.89	1.57	3.11	1.47	4.07	1.15	2.36	1.39	28
sugar	1002	H  	3.13	1.41	1.29	0.69	1.1	0.4	1.19	0.48	1.52	0.89	31
suicide	419	S*	1.03	0.18	3.19	1.42	4.48	0.77	3.23	1.59	3.26	1.61	31
sun	532	H  	4.03	1	1.2	0.41	1.1	0.31	1.37	0.72	1.1	0.31	30
sunlight	1003	H  	3.54	1.35	1.07	0.26	1.04	0.19	1.07	0.26	1.07	0.38	28
sunrise	420	H  	4.27	0.87	1.23	0.73	1.27	0.58	1.1	0.4	1.07	0.37	30
sunset	421	H  	3.89	1.17	1.04	0.19	1.21	0.5	1.11	0.42	1.04	0.19	28
surgery	612	   	1.23	0.5	1.61	1.09	2.58	1.36	3.48	1.34	2.16	1.32	31
surprised	422	*	3.26	1.39	1.48	0.77	1.45	0.62	1.9	1.04	1.1	0.3	31
suspicious	423	   	1.2	0.55	2.53	1.31	1.6	1.1	2.7	1.39	1.8	1.24	30
swamp	1004	   	1.32	0.9	1.39	0.83	1.29	0.76	1.89	1.17	2.36	1.31	28
sweetheart	424	H  	4.55	0.69	1.1	0.31	1.34	0.61	1.1	0.31	1.1	0.56	29
swift	1005	   	2.23	1.31	1.26	0.58	1.23	0.56	1.32	0.65	1.13	0.43	31
swimmer	576	*	2.48	1.65	1.13	0.43	1.06	0.25	1.1	0.4	1.03	0.18	31
syphilis	425	   	1.06	0.36	2.45	1.57	2.74	1.63	3.03	1.45	4.06	1.41	31
table	426	   	1.25	0.59	1	0	1	0	1	0	1	0	28
talent	427	H  	3.71	1.05	1.07	0.26	1.11	0.42	1.21	0.57	1.11	0.31	28
tamper	1006	   	1.07	0.26	2.44	1.23	1.52	0.92	1.66	0.94	1.58	1.03	28
tank	613	   	1.65	1.2	2.13	1.5	1.65	1.17	2.13	1.34	1.52	0.89	31
taste	1007	   	2.84	1.46	1.29	0.59	1.13	0.34	1.45	0.89	2	1.21	31
taxi	1008	   	1.93	1.14	1.47	0.73	1.43	0.82	1.5	0.82	1.83	1.02	30
teacher	1009	*	2.77	1.19	1.97	0.96	1.47	0.73	1.43	0.63	1.47	0.78	30
tease	1010	   	2.23	1.22	2.67	1.37	1.97	1.1	1.57	0.9	1.53	0.68	30
tender	1011	*	2.83	1.46	1.27	0.58	1.77	1.01	1.2	0.55	1.23	0.57	30
tennis	540	*	2.35	1.33	1.19	0.54	1.16	0.45	1.29	0.74	1.19	0.54	31
tense	428	   	1.13	0.35	2.33	1.42	1.86	0.94	2.27	1.23	1.33	0.61	30
termite	429	   	1.07	0.25	2.83	1.46	1.83	1.18	2.7	1.18	3.17	1.49	30
terrible	430	   	1.24	0.79	2.41	1.18	2.72	1.13	2.62	1.15	1.97	1.09	29
terrific	431	H  	4.62	0.73	1.07	0.26	1.03	0.19	1.03	0.19	1.07	0.37	29
terrified	432	F  	1.14	0.52	1.82	1.06	1.89	1.23	4.14	1.24	1.46	0.92	28
terrorist	614	neg	1.06	0.25	3.77	1.5	2.84	1.39	2.94	1.61	3.32	1.62	31
thankful	433	H  	3.97	1.22	1.3	0.65	1.5	0.68	1.27	0.58	1.3	0.6	30
theory	434	   	1.64	0.87	1.29	0.6	1.25	0.7	1.32	0.67	1.14	0.45	28
thermometer	1012	   	1.47	0.78	1.47	0.73	1.67	1.06	1.63	1.03	1.5	0.82	30
thief	435	*	1.26	0.68	3.29	1.55	2.23	1.5	2.87	1.31	2.52	1.73	31
thorn	436	   	1.1	0.3	2.39	1.38	1.77	1.06	2.29	1.22	1.65	1.05	31
thought	1013	   	2.67	1.45	1.97	1.16	1.97	1.16	1.87	1.22	1.73	1.08	30
thoughtful	437	H  	3.83	1.05	1.3	0.6	1.47	0.9	1.17	0.46	1.13	0.35	30
thrill	438	H  	3.86	1.01	1.18	0.48	1.07	0.26	2.14	1.51	1	0	28
tidy	1014	H  	3.2	1.1	1.4	0.67	1.3	0.6	1.31	0.59	1.23	0.5	30
time	439	   	1.97	1.13	1.83	0.95	1.9	1.09	2.23	1.3	1.4	0.72	30
timid	440	   	1.42	0.92	1.74	1.03	2.03	1.14	2.29	1.4	1.61	1.02	31
tobacco	441	   	1.29	0.81	1.89	1.2	1.89	1.23	1.86	1.35	3.18	1.52	28
tomb	442	   	1.38	0.98	1.9	1.29	2.97	1.45	2.79	1.42	1.66	1.08	29
tool	1015	   	1.71	0.9	1.25	0.7	1.04	0.19	1.07	0.26	1.07	0.38	28
toothache	443	   	1.14	0.52	2.48	1.38	1.83	0.97	2.03	1.21	1.9	1.4	29
tornado	444	*	1.35	0.71	1.97	1.25	2.26	1.29	2.94	1.5	1.52	1.09	31
torture	445	neg	1.07	0.37	3.55	1.48	3.52	1.21	4	1.04	3.48	1.35	29
tower	1016	   	1.39	0.88	1.39	0.96	1.46	1	1.68	1.12	1.14	0.52	28
toxic	446	   	1.16	0.58	2.16	1.32	2	1.34	2.84	1.39	2.97	1.43	31
toy	1017	H  	4.04	1.07	1.04	0.19	1	0	1.04	0.19	1	0	28
tragedy	447	   	1.14	0.74	2.82	1.23	4	1.04	3.1	1.5	2.21	1.45	29
traitor	448	A*	1.06	0.25	3.9	1.08	2.42	1.23	2.23	1.31	2.68	1.58	31
trash	615	D  	1.2	0.66	1.97	1.22	1.53	1.07	1.67	0.99	3.33	1.35	30
trauma	616	*	1.23	0.82	2.33	1.15	3.63	1.19	3.57	1.41	2.1	1.27	30
travel	1018	H  	3.32	1.33	1.29	0.74	1.48	0.85	1.77	0.99	1.13	0.34	31
treasure	449	H  	4.42	0.92	1.03	0.18	1.06	0.25	1.19	0.54	1.03	0.18	31
treat	1019	H  	3.64	1.1	1.14	0.36	1.18	0.61	1.07	0.26	1.07	0.26	28
tree	450	*	2.46	1.45	1.11	0.57	1.07	0.26	1.14	0.59	1.11	0.57	28
triumph	451	H  	4.13	1.11	1.5	0.78	1.27	0.58	1.43	0.82	1.3	0.65	30
triumphant	452	H  	4.34	0.9	1.17	0.47	1.03	0.19	1.28	0.59	1.1	0.41	29
trophy	453	H  	4.03	1.05	1.41	0.98	1.38	0.9	1.31	0.76	1.34	0.86	29
trouble	454	   	1.2	0.48	2.55	1.23	2.26	1.03	2.87	1.18	1.65	1.02	31
troubled	455	   	1.21	0.79	2.61	1.13	3.36	1.03	2.46	1.26	1.68	1.19	28
truck	577	   	2.14	1.46	1.45	0.91	1.17	0.76	1.21	0.62	1.31	0.85	29
trumpet	456	   	2.23	1.26	1.23	0.62	1.26	0.58	1.16	0.52	1.19	0.65	31
trunk	1020	   	1.26	0.63	1.19	0.48	1.19	0.54	1.39	0.84	1.23	0.62	31
trust	457	H  	3.67	1.32	1.73	1.05	1.57	0.97	1.73	1.05	1.37	0.76	30
truth	458	H  	3.23	1.36	1.48	0.89	1.65	1.05	1.68	1.05	1.35	0.88	31
tumor	459	   	1.07	0.37	2.38	1.21	3.66	1.08	3.52	1.3	2.62	1.5	29
tune	1021	H  	2.71	1.35	1.16	0.45	1.26	0.63	1.1	0.4	1.13	0.5	31
twilight	1022	   	2.42	1.36	1.26	0.63	1.61	1.02	1.68	1.05	1.26	0.63	31
ugly	460	   	1.17	0.76	2.21	1.26	2.79	1.26	2.17	1.34	2.86	1.25	29
ulcer	461	   	1.03	0.18	2.35	1.31	2.48	1.52	2.71	1.47	2.52	1.59	31
umbrella	578	   	2.03	1.27	1.59	1.12	1.38	0.9	1.31	1.04	1.48	1.15	29
unfaithful	462	*	1.13	0.43	3.97	1.03	3.4	1.43	2.9	1.45	3.99	1.29	30
unhappy	463	   	1.06	0.36	2.39	1.28	3.65	1.31	2.26	1.09	1.77	1.09	31
unit	1023	   	1.73	1.11	1.23	0.5	1.23	0.77	1.2	0.55	1.03	0.18	30
untroubled	464	H  	3.29	1.42	1.19	0.54	1.32	0.87	1.35	0.95	1.29	0.69	31
upset	465	   	1.1	0.31	3.1	1.18	3.57	1.17	2.17	1.09	1.9	1.03	30
urine	617	   	1.88	1.32	1.38	0.86	1.17	0.76	1.41	1.02	2.55	1.24	29
useful	466	H  	3.07	1.66	1.33	0.61	1.17	0.46	1.2	0.48	1.13	0.43	30
useless	467	   	1.13	0.43	3	1.34	2.47	1.22	2.13	1.2	2.43	1.38	30
utensil	1024	   	1.69	0.97	1.24	0.58	1.21	0.68	1.17	0.54	1.17	0.54	29
vacation	468	H  	4.57	0.92	1.11	0.31	1.14	0.45	1.07	0.26	1.07	0.26	28
vagina	1025	H*	3.48	1.5	1.16	0.45	1.29	0.82	1.39	0.8	1.35	0.66	31
valentine	469	H  	3.93	1.23	1.33	0.66	1.77	1.01	1.4	0.72	1.4	0.97	30
vampire	470	*	1.47	0.73	2.13	0.97	1.7	0.88	3.07	1.23	2.23	1.14	30
vandal	471	*	1.34	1.04	3.45	1.43	2.1	1.42	2.69	1.51	2.9	1.63	29
vanity	472	   	1.61	1.07	1.39	0.79	1.25	0.59	1.14	0.52	1.36	0.73	28
vehicle	473	   	2.7	1.42	1.7	0.99	1.57	1.04	2	1.14	1.3	0.88	30
venom	474	F*	1.1	0.41	2.1	1.21	2.21	1.32	3.62	1.24	2.14	1.16	29
vest	1026	   	1.8	1.25	1.26	0.57	1.24	0.56	1.37	0.91	1.3	0.59	31
victim	618	   	1.14	0.45	2.89	1.2	3.07	1.25	2.79	1.23	1.75	1.24	28
victory	475	H  	4.57	0.74	1.14	0.59	1	0	1	0	1	0	28
vigorous	476	   	2.07	1.24	1.63	1.08	1.43	0.84	1.46	0.89	1.13	0.43	31
village	477	   	1.93	1.21	1.07	0.26	1.04	0.19	1.07	0.38	1	0	28
violent	478	neg	1.1	0.41	3.69	1.34	3.1	1.45	3.31	1.37	2.83	1.51	29
violin	579	*	2.62	1.27	1.28	0.65	1.62	1.05	1.14	0.74	1.07	0.37	29
virgin	1027	   	2.54	1.4	1.32	0.86	1.46	1	1.43	0.96	1.18	0.77	28
virtue	479	H  	3.11	1.42	1.11	0.31	1.25	0.65	1.21	0.42	1.18	0.48	28
vision	480	*	2.84	1.51	1.48	0.93	1.19	0.48	1.32	0.7	1.06	0.25	31
volcano	619	   	1.29	0.59	2.06	1.41	1.61	1.02	2.71	1.32	1.35	0.8	31
vomit	481	D  	1.14	0.44	1.83	0.93	1.72	0.96	1.79	0.9	4.24	0.99	29
voyage	1028	*	2.45	1.23	1.16	0.45	1.32	0.6	1.84	0.97	1.1	0.4	31
wagon	1029	   	1.87	1.31	1.13	0.34	1.13	0.43	1.23	0.56	1.26	0.68	31
war	482	neg*	1.25	0.7	3.36	1.34	3.25	1.4	3.43	1.26	2.86	1.56	28
warmth	483	H  	3.97	0.87	1.17	0.54	1.17	0.66	1.14	0.44	1.1	0.31	29
wasp	484	   	1.13	0.35	2.5	1.53	1.63	1.22	2.83	1.23	2.03	1.25	30
waste	485	   	1.1	0.31	2.93	1.23	2.3	1.18	1.8	1.21	3.17	1.29	30
watch	580	   	1.86	1.19	1.24	0.83	1.48	0.99	1.59	1.02	1.55	1.06	29
water	486	H  	2.86	1.38	1.18	0.48	1.14	0.45	1.29	0.66	1.07	0.38	28
waterfall	487	H  	3.66	1.34	1.14	0.52	1.28	0.92	1.55	1.12	1.17	0.66	29
wealthy	488	H  	4.03	1.3	1.43	0.97	1.63	1	1.5	0.97	1.4	0.72	30
weapon	489	   	1.38	0.82	2.79	1.21	2.1	1.23	3.79	1.18	2	1.25	29
weary	490	   	1.17	0.38	1.77	1.04	2.73	1.11	1.73	0.98	1.67	0.96	30
wedding	491	H  	4.1	1.05	1.21	0.77	1.52	1.12	1.78	1.26	1.17	0.76	29
whistle	1030	*	2.57	1.36	1.5	0.94	1.3	0.65	1.4	0.86	1.2	0.61	30
white	542	   	2.25	1.32	1.21	0.69	1.25	0.75	1.18	0.67	1.29	0.76	28
whore	492	   	1.45	0.74	2.34	1.32	2.55	1.27	1.62	1.08	3.48	1.12	29
wicked	493	   	1.1	0.31	3.03	1.33	2.1	1.16	3.27	1.39	2.5	1.48	30
wife	1031	H  	4.45	0.83	1.52	0.78	1.52	0.83	1.41	0.73	1.14	0.44	29
win	494	H  	3.92	1.44	1.32	0.83	1.35	0.88	1.39	0.62	1.16	0.52	31
windmill	1032	   	2.29	1.3	1.21	0.57	1.25	0.59	1.21	0.63	1.11	0.42	28
window	495	   	2.04	1.17	1.11	0.42	1.29	0.76	1.11	0.42	1.11	0.42	28
wine	496	*	3.23	1.43	1.4	0.89	1.9	1.24	1.4	0.81	1.73	1.26	30
wink	1033	H  	3.13	1.07	1.2	0.55	1.1	0.4	1.17	0.59	1.17	0.53	30
wise	497	H  	3.03	1.33	1.35	0.84	1.29	0.64	1.16	0.52	1.23	0.62	31
wish	1034	H  	3.83	1	1.34	0.61	1.62	0.9	1.48	0.95	1.14	0.44	29
wit	1035	H  	3.45	1.3	1.59	0.98	1.21	0.56	1.31	0.71	1.38	0.9	29
woman	498	H  	3.83	1.23	1.71	1.05	1.9	0.96	1.83	1.18	1.13	0.43	30
wonder	499	*	2.97	1.5	1.34	0.9	1.45	0.99	1.55	1.02	1.24	0.83	29
world	500	   	2.55	1.34	1.77	1.09	1.81	1.08	1.84	1.13	1.65	0.91	31
wounds	620	*	1.52	1.18	2.1	1.32	2.41	1.43	2.45	1.38	2.1	1.45	29
writer	1036	   	2.4	1.48	1.5	0.78	1.7	0.92	1.43	0.73	1.5	0.86	30
yacht	1037	H  	3.23	1.48	1.33	0.71	1.17	0.38	1.2	0.48	1.4	1	30
yellow	545	*	1.86	1.18	1.32	0.9	1.14	0.59	1.25	0.59	1.18	0.48	28
young	1038	H  	3.4	1.33	1.7	1.21	1.73	1.05	1.57	1.14	1.43	0.94	30
youth	1039	H  	3.67	1.45	1.77	1.01	1.77	0.9	1.77	0.97	1.7	1.21	30
zest	1040	H  	2.61	1.26	1.19	0.54	1.16	0.52	1.23	0.5	1.29	0.69	31

