word	ANEW #	male_cat	mean_hap	sd_hap	mean_ang	sd_ang	mean_sad	sd_sad	mean_fear	sd_fear	mean_dis	sd_dis	n
candy	61	H  	3.61	1.34	1.04	0.19	1.04	0.19	1.14	0.45	1.36	0.68	28
cane	677	   	1.34	0.83	1.54	0.99	1.84	1.13	1.23	0.5	1.17	0.58	31
cannon	678	   	1.47	0.68	2.2	1.3	1.47	0.78	2.5	1.31	1.47	0.82	30
capable	62	H  	3.1	1.35	1.38	0.9	1.41	0.95	1.59	1.02	1.38	0.9	29
car	551	H  	3.41	1.4	1.55	0.87	1.24	0.51	1.72	0.96	1.24	0.64	29
carcass	679	   	1.14	0.44	1.97	1.12	2.59	1.3	2.45	1.4	3.21	1.59	29
carefree	63	H  	3.32	1.59	1.21	0.79	1.14	0.76	1.14	0.76	1.14	0.76	28
caress	64	H  	3.83	1.05	1.1	0.31	1.3	0.7	1.1	0.31	1.2	0.48	30
cash	503	H  	4.07	1.13	1.52	0.78	1.39	0.67	1.38	0.68	1.52	0.91	29
casino	680	H  	3.07	1.41	1.5	0.84	1.57	1.1	1.57	0.96	1.21	0.5	28
cat	504	   	2.36	1.42	1.54	0.88	1.25	0.7	1.18	0.55	1.36	0.87	28
cell	587	   	1.96	1.14	1.46	0.79	1.79	1.07	1.86	1.15	1.46	0.69	28
cellar	681	   	1.29	0.69	1.35	0.8	1.48	0.81	2.32	1.19	1.58	1.09	31
cemetery	65	S  	1.17	0.6	2.07	1.25	3.9	1.11	2.52	1.43	1.62	1.12	29
chair	66	   	1.59	1.02	1.03	0.19	1.03	0.19	1.14	0.58	1.03	0.19	29
champ	682	H  	4.16	1.15	1.13	0.43	1.17	0.46	1.2	0.55	1.13	0.43	30
champion	67	H  	4.21	1.15	1.38	0.82	1.31	0.66	1.28	0.65	1.17	0.54	29
chance	683	   	2.83	1.26	1.4	0.72	1.53	0.78	2.1	1.21	1.37	0.93	30
chaos	684	   	1.65	1.08	2.29	1.16	1.84	0.93	2.48	1.18	1.74	0.89	31
charm	68	H  	3.64	1.03	1.18	0.48	1.18	0.48	1.18	0.61	1.07	0.26	28
cheer	69	H  	4.14	1.16	1.07	0.37	1.07	0.37	1.21	0.68	1.24	0.79	29
child	70	H  	4.07	1	1.34	0.81	1.48	0.95	1.55	1.02	1.21	0.77	29
chin	685	   	1.4	0.67	1.17	0.53	1.13	0.43	1.17	0.46	1.17	0.53	30
chocolate	505	H  	4.03	1.18	1.1	0.56	1.28	0.92	1.17	0.76	1.21	0.49	29
christmas	686	H  	4.63	0.67	1.3	0.84	1.57	0.9	1.1	0.4	1.17	0.53	30
church	71	H  	3.07	1.49	1.25	0.52	1.18	0.39	1.43	0.84	1.07	0.26	28
circle	687	   	1.76	1.12	1.03	0.19	1.03	0.19	1.17	0.6	1.03	0.19	29
circus	72	H  	3.4	1.28	1.3	0.6	1.5	1.11	1.57	0.9	1.4	0.77	30
city	73	*	2.64	1.28	1.39	0.69	1.15	0.36	1.61	0.96	1.25	0.59	28
cliff	553	*	1.77	1.28	1.34	0.71	1.57	1.04	2.73	1.44	1.13	0.51	30
clock	688	   	1.52	0.85	1.32	0.79	1.48	0.93	1.45	1.06	1.35	0.75	31
clothing	74	*	2.9	1.61	1.59	1.05	1.31	0.81	1.31	0.76	1.66	1.04	29
clouds	533	H  	3.29	1.44	1.29	0.64	1.35	0.66	1.23	0.56	1.19	0.6	31
clumsy	689	   	1.7	0.95	2.37	1.13	1.93	0.94	1.7	0.92	1.63	1.03	30
coarse	690	   	1.38	0.68	1.86	1.22	1.45	1.12	1.48	0.95	1.62	0.98	29
coast	691	H  	3.03	1.5	1.17	0.47	1.1	0.41	1.24	0.64	1	0	29
cockroach	75	D*	1.07	0.38	2.07	1.39	1.39	0.92	2.25	1.38	4	1.36	28
coffin	76	   	1.2	0.76	1.97	1.25	3.99	1.3	3.28	1.39	1.87	1.01	30
coin	692	   	1.89	1.2	1.14	0.45	1.07	0.38	1.11	0.42	1.21	0.83	28
cold	693	   	1.43	0.88	2.25	1.35	1.93	1.18	1.89	1.2	1.39	0.74	28
